n,t_n,q_n,k_n,h_n,d_dot_n,T_n,W_n
32,18550.9767579341,0.2924150249,1.2330045504,0.2132935734,9.1305176705,29.7501280889,3.2880729578
33,18580.7268860230,0.2681213496,1.2312734170,0.2119916268,9.1304857440,5.0149075227,28.0391662220
34,18585.7417935457,0.2400564975,1.2330306344,0.2133209638,9.1305183798,30.4849373442,3.2921344451
35,18616.2267308899,0.2955805038,1.2312459092,0.2119669078,9.1304850984,5.0000919911,28.7724822199
36,18621.2268228810,0.2782595289,1.2329936171,0.2132873349,9.1305175372,29.7517533964,3.2884937636
37,18650.9785762774,0.2505156401,1.2312615404,0.2119852402,9.1304855965,5.2470059407,28.0396130842
38,18656.2255822182,0.3398892757,1.2330686599,0.2133349984,9.1305184708,30.2511521830,3.5309611599
39,18686.4767344011,0.2949658804,1.2312478475,0.2119685196,9.1304851394,5.0000935053,28.5390807126
40,18691.4768279065,0.2772790628,1.2329951961,0.2132887204,9.1305175721,29.7559749205,3.2885154342
41,18721.2328028270,0.2439854280,1.2312634559,0.2119877140,9.1304856599,5.2433079327,28.0399670976
42,18726.4761107596,0.3349051559,1.2330662510,0.2133339054,9.1305184861,30.2505834411,3.5285893154
43,18756.7266942008,0.3013975156,1.2312559826,0.2119737029,9.1304852529,5.0001055884,28.5384074041
44,18761.7267997892,0.2833107447,1.2330028714,0.2132935739,9.1305176838,29.7549952002,3.2883295079
45,18791.4817949894,0.2450091430,1.2312649245,0.2119885157,9.1304856794,5.2442939170,28.0397590505
46,18796.7260889064,0.3352779587,1.2330684482,0.2133353612,9.1305185188,30.2507072454,3.5295030888
47,18826.9767961518,0.2821894799,1.2312402267,0.2119644159,9.1304850586,5.0002093439,28.5389151620
48,18831.9770054957,0.2640644902,1.2329873777,0.2132845790,9.1305174815,29.9517466014,3.2889038763
49,18861.9287520971,0.3221758946,1.2313087548,0.2120106629,9.1304860881,5.0477021423,28.0478412042
50,18866.9764542394,0.3241994946,1.2330602741,0.2133307664,9.1305184781,30.4992199663,3.3341008877
51,18897.4756742057,0.3379669036,1.2312580251,0.2119701597,9.1304849778,5.0007807467,28.7810905724
52,18902.4764549524,0.3241167748,1.2330087014,0.2132922276,9.1305175375,29.7502144719,3.2873689427
53,18932.2266694243,0.3047780750,1.2312832135,0.2119942323,9.1304857505,5.0001337229,28.0385483586
54,18937.2268031472,0.2825719610,1.2330259740,0.2133114612,9.1305181215,30.2529699174,3.2882705147
55,18967.4797730646,0.2477626641,1.2312193530,0.2119543574,9.1304848355,5.2386619620,28.5398154537
56,18972.7184350265,0.3403808630,1.2330303053,0.2133067243,9.1305177757,29.7579054391,3.5249817333
57,19002.4763404656,0.3276126782,1.2313077109,0.2120097027,9.1304860331,5.0003450164,28.0441536145
58,19007.4766854821,0.3044283413,1.2330492151,0.2133259877,9.1305184363,30.2501320252,3.2876759189
59,19037.7268175072,0.2774588197,1.2312450534,0.2119693250,9.1304851852,5.0005871329,28.5387006787
60,19042.7274046401,0.2578840069,1.2329912358,0.2132889522,9.1305175917,29.9990993164,3.2891039165
