E,eta_h,d_amp,q_amp,h_amp,return_time_mean,return_time_cv,crossing_ratio,m_bar,capbind_frac,phi_bar,mid_frac_proxy
1.3733333333,0.0140500000,0.9913314900,0.8132517323,0.1282506513,72.1508509964,0.0014410858,1.0000000000,0.3271443076,0.0247988978,0.4425952736,0.0002222123
1.3733333333,0.0155000000,0.9913314939,0.8132492016,0.1305826916,66.0971074498,0.0055543053,1.0000000000,0.3291457827,0.0271543487,0.4430888288,0.0015110440
1.3733333333,0.0169500000,0.9913314971,0.8132459602,0.1319426657,61.4075233541,0.0106907667,1.0000000000,0.3257790097,0.0291542598,0.4419303050,0.0023110084
1.3733333333,0.0184000000,0.9913315001,0.8132416983,0.1325900728,56.7001767734,0.0130459415,1.0000000000,0.3256164397,0.0312430559,0.4417769072,0.0021332385
1.3733333333,0.0198500000,0.9913315030,0.8132354945,0.1318536126,52.7428660939,0.0027090631,1.0000000000,0.3253009232,0.0337318341,0.4417445920,0.0021332385
1.3733333333,0.0213000000,0.9913315058,0.8132278050,0.1324524706,49.3240499364,0.0038089179,1.0000000000,0.3252676746,0.0361317275,0.4418391682,0.0022665659
1.3733333333,0.0227500000,0.9913315085,0.8132163691,0.1314227139,46.1851383935,0.0004617014,1.0000000000,0.3246293736,0.0384427359,0.4416206584,0.0022665659
1.3733333333,0.0242000000,0.9913315111,0.8132045991,0.1328612539,43.7743399395,0.0044450037,1.0000000000,0.3258738968,0.0408870717,0.4419912988,0.0028443180
1.3733333333,0.0256500000,0.9913315137,0.8131895199,0.1336924192,41.5324208427,0.0088666231,1.0000000000,0.3237850249,0.0427980979,0.4413058644,0.0025332207
1.3733333333,0.0271000000,0.9913315163,0.8131723440,0.1348188243,39.4087629290,0.0085518756,1.0000000000,0.3245826532,0.0455535310,0.4417119174,0.0025776632
1.3733333333,0.0285500000,0.9913315190,0.8131465844,0.1340859357,37.6213933650,0.0076303434,1.0000000000,0.3249686783,0.0475089996,0.4416291832,0.0028887605
1.3733333333,0.0300000000,0.9913315216,0.8131180432,0.1341489965,36.0644457422,0.0017339149,1.0000000000,0.3238962022,0.0495977957,0.4412961375,0.0031109728
1.4000000000,0.0010000000,0.9913302566,0.8199992984,0.1217213293,989.6690241634,0.0384409182,1.0000000000,0.2640369642,0.0015999289,0.4148396017,0.0000444425
1.4000000000,0.0024500000,0.9913302685,0.8200002322,0.1084777746,358.5435846409,0.0010937179,1.0000000000,0.2995288247,0.0051997689,0.4275529852,0.0004888672
