n,t_n,q_n,k_n,h_n,d_dot_n,T_n,W_n
34,18566.9766291088,0.3101600992,1.2442905877,0.2161633463,9.1305868896,28.7501925060,3.2874955284
35,18595.7268216148,0.2755907309,1.2425432922,0.2148492858,9.1305554357,5.0011655890,27.0391184250
36,18600.7279872038,0.2533469668,1.2442618987,0.2161498680,9.1305866491,28.9986120363,3.2891824642
37,18629.7265992401,0.3114628893,1.2425605127,0.2148572319,9.1305555523,5.0001581774,27.2858823074
38,18634.7267574175,0.2914693561,1.2442797538,0.2161578410,9.1305868036,28.7600722659,3.2879874824
39,18663.4868296835,0.2400241636,1.2425302069,0.2148446879,9.1305553458,5.2391954367,27.0402500185
40,18668.7260251201,0.3353430743,1.2443049549,0.2161706660,9.1305869292,28.7507347164,3.5240786823
41,18697.4767598366,0.2891086523,1.2425466781,0.2148500422,9.1305554360,5.0001333991,27.0390872503
42,18702.4768932356,0.2682907570,1.2442653592,0.2161504312,9.1305866538,28.9969740885,3.2886523947
43,18731.4738673241,0.3397467030,1.2425786775,0.2148671730,9.1305556119,5.0026114372,27.1213646633
44,18736.4764787613,0.3219101130,1.2442990775,0.2161682316,9.1305869578,28.7504348989,3.2891157287
45,18765.2269136602,0.2652402537,1.2425314849,0.2148420165,9.1305552694,5.0080845015,27.0391868120
46,18770.2349981617,0.2429112172,1.2442591864,0.2161496556,9.1305866479,28.9914796361,3.2904630872
47,18799.2264777978,0.3204195089,1.2425667697,0.2148609601,9.1305556032,5.0002270161,27.2783770759
48,18804.2267048138,0.3006169744,1.2442861004,0.2161615694,9.1305868741,28.7506092624,3.2877266833
49,18832.9773140763,0.2561767093,1.2425303248,0.2148424925,9.1305552864,5.1828004108,27.0394211997
50,18838.1601144870,0.3141012859,1.2443022323,0.2161719902,9.1305870818,28.8165954819,3.3076122436
51,18866.9767099689,0.2980436132,1.2425524939,0.2148533144,9.1305554973,5.0001115922,27.1045191504
52,18871.9768215611,0.2774775391,1.2442713039,0.2161537281,9.1305867243,28.9067310018,3.2883878584
53,18900.8835525629,0.3000117751,1.2425662875,0.2148637340,9.1305557439,5.0927764604,27.0432573940
54,18905.9763290233,0.3285906055,1.2443028953,0.2161702840,9.1305869688,28.7504374191,3.3787303643
55,18934.7267664424,0.2877454127,1.2425495141,0.2148525143,9.1305554978,5.0001605246,27.0388639154
56,18939.7269269670,0.2661956927,1.2442675142,0.2161524832,9.1305867043,28.9990468180,3.2886998746
57,18968.7259737850,0.3346020158,1.2425771933,0.2148668167,9.1305556508,5.0006013446,27.2824618233
58,18973.7265751295,0.3152224388,1.2442966964,0.2161674336,9.1305869687,28.7504572794,3.2874770058
59,19002.4770324089,0.2607157050,1.2425311889,0.2148424374,9.1305552825,5.0313225864,27.0392443818
60,19007.5083549953,0.2399546257,1.2442784190,0.2161648817,9.1305870120,28.9682159824,3.2932360071
