n,t_n,q_n,k_n,h_n,d_dot_n,T_n,W_n
42,18746.0639265421,0.2682809042,1.2267099175,0.2113628706,9.1304701940,20.6634446071,13.2945193881
43,18766.7273711492,0.2576477386,1.2262952618,0.2110515742,9.1304624718,15.2487754116,18.9526067629
44,18781.9761465608,0.3340993998,1.2267287797,0.2113672899,9.1304701114,20.6135124947,13.5343254596
45,18802.5896590555,0.2805898105,1.2263259712,0.2110717505,9.1304629553,15.1369118374,18.7951642296
46,18817.7265708929,0.3163642578,1.2267182088,0.2113618454,9.1304700757,20.7496053436,13.4242750995
47,18838.4761762365,0.3331740630,1.2263405015,0.2110748802,9.1304628567,15.0005513887,19.0352635820
48,18853.4767276252,0.2978015728,1.2267070357,0.2113560775,9.1304699874,20.7498506318,13.2887234036
49,18874.2265782570,0.3153902456,1.2263298943,0.2110694037,9.1304628183,15.0002424953,19.0374691494
50,18889.2268207523,0.2784960544,1.2266952912,0.2113500002,9.1304698658,20.7499104228,13.2890306058
51,18909.9767311751,0.2967871800,1.2263186878,0.2110636051,9.1304627278,15.0005972156,19.0383779043
52,18924.9773283907,0.2584436066,1.2266834444,0.2113439751,9.1304697315,20.7494955133,13.2895278770
53,18945.7268239040,0.2774408165,1.2263069100,0.2110574972,9.1304626045,15.0982120820,19.0385843065
54,18960.8250359859,0.2737544950,1.2267116463,0.2113633658,9.1304702018,20.6523678092,13.2949098039
55,18981.4774037952,0.2573451085,1.2262951117,0.2110515049,9.1304624703,15.2487555240,18.9415083784
56,18996.7261593192,0.3338462915,1.2267286295,0.2113672123,9.1304701114,20.6230639097,13.5343591806
57,19017.3492232289,0.2852702413,1.2263274560,0.2110721812,9.1304629602,15.1273509146,18.7955123504
58,19032.4765741434,0.3160964453,1.2267180487,0.2113617627,9.1304700748,20.7496138057,13.4147290101
59,19053.2261879491,0.3329202762,1.2263403508,0.2110748023,9.1304628567,15.0005413125,19.0353304654
60,19068.2267292616,0.2975228290,1.2267068672,0.2113559903,9.1304699858,20.7498521505,13.2887233421
